Kanji,Meaning,Radicals
舅,"mothers brother","臼 (mortar) + 田 (field) + 力 (power)"
昧,"obscure","日 (sun) + 木 (tree) + 一 (one)"
擅,"monopolize","扌 (hand) + 亠 (lid) + 囗 (enclosure) + 口 (mouth) + 日 (sun) + 一 (one)"
爽,"happy","大 (big)"
咖,"coffee","口 (mouth) + 力 (power)"
搁,"place","扌 (hand) + 门 (gate) + 夂 (go) + 口 (mouth)"
禄,"blessing","礻 (showing) + 彐 (pigs head) + 氺"
雌,"female","止 (stop) + 匕 (spoon) + 隹 (short tailed bird)"
哨,"whistle","口 (mouth) + 小 (small) + 月 (moon)"
巩,"bind","工 (work) + 几 (table) + 丶 (dot)"
绢,"kind of thick stiff silk","纟 (silk) + 口 (mouth) + 月 (moon)"
螺,"spiral shell","虫 (insect) + 田 (field) + 糸 (silk)"
裹,"wrap","衣 (clothes) + 田 (field) + 木 (tree)"
昔,"formerly","日 (sun)"
轩,"carriage","车 (cart) + 干 (dry)"
谬,"error","讠 (speech) + 羽 (feather) + 人 (man) + 彡 (bristle)"
谍,"an intelligence report","讠 (speech) + 世 (generation) + 木 (tree)"
龟,"turtle or tortoise","龟 (turtle)"
媳,"daughter-in-law","女 (woman) + 自 (self) + 心 (heart)"
姜,"surname","羊 (sheep) + 女 (woman)"
瞎,"blind","目 (eye) + 宀 (roof) + 彡 (bristle) + 丨 (line) + 口 (mouth)"
冤,"grievance","冖 (over) + 免 (spare) + 丶 (dot)"
鸦,"crow","牙 (fang) + 鸟 (bird)"
蓬,"type of raspberry","艹 (grass) + 辶 (walk) + 夂 (go) + 丰 (abundant)"
巷,"alley","廿 + 廾 (two hands) + 巳"
琳,"beautiful jade","王 (king) + 木 (tree)"
栽,"to cultivate","戈 (halberd) + 十 (ten) + 木 (tree)"
沾,"moisten","氵 (water) + 卜 (divination) + 口 (mouth)"
诈,"cheat","讠 (speech) + 乍 (first time)"
斋,"vegetarian diet","文 (script) + 而 (and)"
瞒,"deceive","目 (eye) + 艹 (grass) + 两 (two)"
彪,"tiger","虍 (tiger) + 儿 (legs) + 彡 (bristle)"
厄,"adversity","厂 (cliff) + 㔾"
咨,"inquire","冫 (ice) + 欠 (lack) + 口 (mouth)"
纺,"spin","纟 (silk) + 方 (square)"
罐,"jar","缶 (jar) + 艹 (grass) + 口 (mouth) + 隹 (short tailed bird)"
桶,"pail","木 (tree) + 龴 + 用 (use)"
壤,"soil","土 (earth) + 衣 (clothes)"
糕,"cakes","米 (rice) + 羊 (sheep) + 灬 (fire)"
颂,"laud","八 (eight) + 厶 (private) + 页 (leaf)"
膨,"to swell","月 (moon) + 十 (ten) + 豆 (bean) + 彡 (bristle)"
谐,"harmonize","讠 (speech) + 比 (compare) + 白 (white)"
垒,"rampart","厶 (private) + 土 (earth)"
咕,"mumble","口 (mouth) + 十 (ten)"
隙,"crack","阝 (mound) + 小 (small) + 曰 (say)"
辣,"peppery","辛 (bitter) + 木 (tree) + 口 (mouth)"
绑,"bind","纟 (silk) + 丰 (abundant) + 阝 (mound)"
宠,"favorite","宀 (roof) + 龙 (dragon)"
嘿,"be silent","口 (mouth) + 黑 (black)"
兑,"cash","丷 (eight) + 口 (mouth) + 儿 (legs)"
霉,"mildew","雨 (rain) + 丿 (slash) + 一 (one) + 母 (mother)"
挫,"push down","扌 (hand) + 人 (man) + 土 (earth)"
稽,"examine","禾 (grain) + 尤 (especially) + 匕 (spoon) + 日 (sun)"
辐,"spokes of wheel","车 (cart) + 一 (one) + 口 (mouth) + 田 (field)"
乞,"beg","丿 (slash) + 一 (one) + 乙 (second)"
纱,"gauze","纟 (silk) + 小 (small) + 丿 (slash)"
裙,"skirt","衤 (clothes) + 彐 (pigs head) + 丿 (slash) + 口 (mouth)"
嘻,"mirthful","口 (mouth) + 十 (ten) + 豆 (bean)"
哇,"vomit","口 (mouth) + 土 (earth)"
绣,"embroider","纟 (silk) + 禾 (grain) + 乃 (then)"
杖,"cane","木 (tree) + 丈 (unit of length equal 3.3 meters)"
塘,"pond","土 (earth) + 广 (dotted cliff) + 肀 + 口 (mouth)"
衍,"overflow","彳 (step) + 氵 (water)"
轴,"axle","车 (cart) + 曰 (say) + 丨 (line)"
攀,"climb","木 (tree) + 爻 (cross) + 大 (big) + 手 (hand)"
膊,"shoulders","月 (moon) + 甫 (begin) + 寸 (inch)"
譬,"metaphor","辛 (bitter) + 言 (speech)"
斌,"refined","文 (script) + 一 (one) + 弋 (shoot) + 止 (stop)"
祈,"pray","礻 (showing) + 斤 (axe)"
踢,"kick","足 (foot) + 日 (sun) + 勿 (must not)"
肆,"indulge","镸 + 聿 (brush)"
坎,"pit","土 (earth) + 欠 (lack)"
轿,"sedan-chair","车 (cart) + 丿 (slash) + 大 (big) + 儿 (legs)"
棚,"tent","木 (tree) + 月 (moon)"
泣,"cry","氵 (water) + 立 (stand)"
屡,"frequently","尸 (corpse) + 米 (rice) + 女 (woman)"
躁,"tense","足 (foot) + 口 (mouth) + 木 (tree)"
邱,"surname","丘 (hill) + 阝 (mound)"
凰,"female phoenix","几 (table) + 白 (white) + 王 (king)"
溢,"overflow","氵 (water) + 皿 (dish)"
椎,"hammer","木 (tree) + 隹 (short tailed bird)"
砸,"smash","石 (stone) + 匚 (open box) + 巾 (turban)"
趟,"time","走 (run) + 小 (small) + 冂 (down box) + 囗 (enclosure)"
帘,"flag-sign of a tavern","穴 (cave) + 巾 (turban)"
帆,"sail","巾 (turban) + 几 (table) + 丶 (dot)"
栖,"perch","木 (tree) + 一 (one) + 儿 (legs) + 口 (mouth)"
窜,"run away","穴 (cave) + 口 (mouth) + 丨 (line)"
丸,"small round object","九 (nine) + 丶 (dot)"
斩,"cut","车 (cart) + 斤 (axe)"
堤,"dike","土 (earth) + 日 (sun)"
塌,"fall in ruins","土 (earth) + 羽 (feather) + 冂 (down box) + 二 (two)"
贩,"peddler","贝 (shell) + 又 (again)"
厢,"side-room","厂 (cliff) + 木 (tree) + 目 (eye)"
掀,"lift","扌 (hand) + 斤 (axe) + 欠 (lack)"
喀,"vomit","口 (mouth) + 宀 (roof) + 夂 (go)"
乖,"rebel","丿 (slash) + 十 (ten) + 爿 (half tree trunk) + 匕 (spoon)"
谜,"riddle","讠 (speech) + 辶 (walk) + 米 (rice)"
捏,"pick with fingers","扌 (hand) + 日 (sun) + 土 (earth)"
阎,"village gate","门 (gate) + 臼 (mortar)"
滨,"beach","氵 (water) + 宀 (roof) + 丘 (hill) + 八 (eight)"
虏,"to capture","虍 (tiger) + 力 (power)"
匙,"spoon","日 (sun) + 匕 (spoon)"
芦,"rushes","艹 (grass) + 丶 (dot) + 尸 (corpse)"
苹,"artemisia","艹 (grass) + 干 (dry) + 丷 (eight)"
卸,"lay down","𦈢 + 卩 (seal)"
沼,"lake","氵 (water) + 刀 (knife) + 口 (mouth)"
钥,"key","钅 + 月 (moon)"
株,"numerary adjunct for trees","木 (tree) + 丿 (slash) + 一 (one)"
祷,"pray","礻 (showing) + 丰 (abundant) + 寸 (inch)"
剖,"split in two","立 (stand) + 口 (mouth) + 刂 (knife)"
熙,"bright","臣 (minister) + 巳 + 灬 (fire)"
哗,"rushing sound","口 (mouth) + 亻 (man) + 匕 (spoon) + 十 (ten)"
劈,"cut apart","辛 (bitter) + 刀 (knife)"
怯,"lacking in courage","忄 (heart) + 土 (earth) + 厶 (private)"
棠,"crab apple tree","小 (small) + 口 (mouth) + 木 (tree)"
胳,"armpit","月 (moon) + 夂 (go) + 口 (mouth)"
桩,"stake","木 (tree) + 广 (dotted cliff) + 土 (earth)"
瑰,"extraordinary","王 (king) + 鬼 (ghost)"
娱,"pleasure","女 (woman) + 口 (mouth) + 一 (one) + 大 (big)"
娶,"marry","耳 (ear) + 又 (again) + 女 (woman)"
沫,"froth","氵 (water) + 木 (tree) + 一 (one)"
嗓,"voice","口 (mouth) + 又 (again) + 木 (tree)"
蹲,"squat","足 (foot) + 丷 (eight) + 酉 (alcohol) + 寸 (inch)"
焚,"burn","木 (tree) + 火 (fire)"
淘,"wash in sieve","氵 (water) + 勹 (wrap) + 缶 (jar)"
嫩,"soft","女 (woman) + 木 (tree) + 口 (mouth) + 攵 (rap)"
韵,"rhyme","音 (sound) + 勹 (wrap) + 冫 (ice)"
衬,"underwear","衤 (clothes) + 寸 (inch)"
匈,"breast","勹 (wrap) + 凵 (open box) + 乂"
钧,"unit of measure equivalent to thirty catties","钅 + 勹 (wrap) + 冫 (ice)"
竖,"perpendicular","丨 (line) + 又 (again) + 立 (stand)"
峻,"high","山 (mountain) + 厶 (private) + 儿 (legs) + 夂 (go)"
豹,"leopard","豸 (badger) + 勹 (wrap) + 丶 (dot)"
捞,"scoop out of water","扌 (hand) + 艹 (grass) + 力 (power)"
菊,"chrysanthemum","艹 (grass) + 勹 (wrap) + 米 (rice)"
鄙,"mean","口 (mouth) + 十 (ten) + 囗 (enclosure) + 阝 (mound)"
魄,"vigor","白 (white) + 鬼 (ghost)"
兜,"pouch","儿 (legs)"
哄,"coax","口 (mouth) + 廿 + 廾 (two hands)"
颖,"rice tassel","禾 (grain) + 匕 (spoon) + 页 (leaf)"
镑,"pound sterling","钅 + 亠 (lid) + 八 (eight) + 方 (square)"
屑,"bits","尸 (corpse) + 小 (small) + 月 (moon)"
蚁,"ants","虫 (insect) + 乂 + 丶 (dot)"
壶,"jar","士 (scholar) + 业 (profession)"
怡,"harmony","忄 (heart) + 厶 (private) + 口 (mouth)"
渗,"soak through","氵 (water) + 厶 (private) + 人 (man) + 彡 (bristle)"
秃,"bald","禾 (grain) + 几 (table)"
迦,"character for transliteration","辶 (walk) + 力 (power) + 口 (mouth)"
旱,"drought","日 (sun) + 干 (dry)"
哟,"ah","口 (mouth) + 纟 (silk) + 勹 (wrap) + 丶 (dot)"
咸,"together","丿 (slash) + 戈 (halberd) + 一 (one) + 口 (mouth)"
焉,"thereupon","一 (one) + 止 (stop) + 卜 (divination) + 乙 (second) + 灬 (fire)"
谴,"reprimand","讠 (speech) + 辶 (walk) + 口 (mouth) + 丨 (line) + 一 (one) + 㠯"
宛,"seem","宀 (roof) + 夕 (evening) + 㔾"
稻,"rice growing in field","禾 (grain) + 爫 (claw) + 臼 (mortar)"
铸,"melt","钅 + 丰 (abundant) + 寸 (inch)"
锻,"forge metal","钅 + 殳 (weapon)"
伽,"transcription of sanskrit gha in buddhist texts (samgha","亻 (man) + 力 (power) + 口 (mouth)"
詹,"surname","厂 (cliff) + 儿 (legs) + 言 (speech)"
毙,"kill","比 (compare) + 歹 (death) + 匕 (spoon)"
恍,"seemingly","忄 (heart) + 一 (one) + 儿 (legs)"
贬,"decrease","贝 (shell) + 丿 (slash) + 之 (marks preceding phrase as modifier of following phrase)"
烛,"candle","火 (fire) + 虫 (insect)"
骇,"terrify","马 (horse) + 亠 (lid) + 人 (man)"
芯,"pith from rush (juncus effusus)","艹 (grass) + 心 (heart)"
汁,"juice","氵 (water) + 十 (ten)"
桓,"variety of tree","木 (tree) + 二 (two) + 日 (sun)"
坊,"neighborhood","土 (earth) + 方 (square)"
驴,"donkey","马 (horse) + 丶 (dot) + 尸 (corpse)"
朽,"decayed","木 (tree) + 丂"
靖,"pacify","立 (stand) + 青 (blue)"
佣,"commission fee","亻 (man) + 用 (use)"
汝,"you","氵 (water) + 女 (woman)"
碌,"rough","石 (stone) + 彐 (pigs head) + 氺"
迄,"extend","辶 (walk) + 丿 (slash) + 一 (one) + 乙 (second)"
冀,"hope for","爿 (half tree trunk) + 匕 (spoon) + 田 (field) + 廿 + 廾 (two hands)"
荆,"thorns","艹 (grass) + 一 (one) + 廾 (two hands) + 刂 (knife)"
崔,"high","山 (mountain) + 隹 (short tailed bird)"
雁,"wild goose","厂 (cliff) + 亻 (man) + 隹 (short tailed bird)"
绅,"girdle","纟 (silk) + 曰 (say) + 丨 (line)"
珊,"coral","王 (king) + 冂 (down box) + 廾 (two hands)"
榜,"placard","木 (tree) + 亠 (lid) + 八 (eight) + 方 (square)"
诵,"recite","讠 (speech) + 龴 + 用 (use)"
傍,"by side of","亻 (man) + 亠 (lid) + 八 (eight) + 方 (square)"
彦,"elegant","亠 (lid) + 八 (eight) + 厂 (cliff) + 彡 (bristle)"
醇,"rich","酉 (alcohol) + 亠 (lid) + 口 (mouth) + 子 (child)"
笛,"bamboo flute","竹 (bamboo) + 曰 (say) + 丨 (line)"
禽,"birds","人 (man) + 亠 (lid) + 凵 (open box) + 乂 + 禸 (track)"
勿,"must not","勿 (must not)"
娟,"beautiful","女 (woman) + 口 (mouth) + 月 (moon)"
瞄,"take aim at","目 (eye) + 艹 (grass) + 田 (field)"
幢,"carriage curtain","巾 (turban) + 立 (stand) + 里 (village)"
寇,"bandits","宀 (roof) + 一 (one) + 儿 (legs) + 攴 (rap)"
睹,"look at","目 (eye) + 土 (earth) + 丿 (slash) + 日 (sun)"
贿,"bribe","贝 (shell) + 丿 (slash) + 一 (one) + 月 (moon)"
踩,"step on","足 (foot) + 爫 (claw) + 木 (tree)"
霆,"a sudden peal of thunder","雨 (rain) + 廴 (long stride) + 丿 (slash) + 士 (scholar)"
呜,"sound of crying","口 (mouth) + 乌 (crow)"
拱,"fold hands on breast","扌 (hand) + 廿 + 廾 (two hands)"
妃,"wife","女 (woman) + 己 (oneself)"
蔑,"disdain","艹 (grass) + 丿 (slash) + 戈 (halberd) + 一 (one) + 目 (eye)"
谕,"proclaim","讠 (speech) + 人 (man) + 一 (one) + 月 (moon) + 刂 (knife)"
缚,"to tie","纟 (silk) + 甫 (begin) + 寸 (inch)"
诡,"deceive","讠 (speech) + 厂 (cliff) + 㔾"
篷,"awning","竹 (bamboo) + 辶 (walk) + 夂 (go) + 丰 (abundant)"
淹,"drown","氵 (water) + 大 (big) + 曰 (say) + 乚 (second)"
腕,"wrist","月 (moon) + 宀 (roof) + 夕 (evening) + 㔾"
煮,"cook","土 (earth) + 丿 (slash) + 日 (sun) + 灬 (fire)"
倩,"beautiful","亻 (man) + 冂 (down box) + 丄"
卒,"soldier","亠 (lid) + 人 (man) + 十 (ten)"
勘,"investigate","甘 (sweet) + 匚 (open box) + 儿 (legs) + 力 (power)"
馨,"fragrant","士 (scholar) + 尸 (corpse) + 丨 (line) + 殳 (weapon) + 香 (fragrant)"
逗,"tempt","辶 (walk) + 豆 (bean)"
甸,"suburbs of capital","勹 (wrap) + 田 (field)"
贱,"mean","贝 (shell) + 一 (one) + 戈 (halberd)"
炒,"fry","火 (fire) + 小 (small) + 丿 (slash)"
灿,"vivid","火 (fire) + 山 (mountain)"
敞,"roomy","小 (small) + 冂 (down box) + 囗 (enclosure) + 攵 (rap)"
蜡,"wax","虫 (insect) + 日 (sun)"
囚,"prisoner","囗 (enclosure) + 人 (man)"
栗,"chestnut tree","覀 (west) + 木 (tree)"
辜,"crime","十 (ten) + 口 (mouth) + 辛 (bitter)"
垫,"advance money","扌 (hand) + 九 (nine) + 丶 (dot) + 土 (earth)"
妒,"jealous","女 (woman) + 戶 (door)"
魁,"chief","鬼 (ghost) + 斗 (dipper)"
谣,"sing","讠 (speech) + 爪 (claw) + 缶 (jar)"
寞,"silent","宀 (roof) + 艹 (grass) + 日 (sun) + 大 (big)"
蜀,"name of an ancient state","罒 (net) + 勹 (wrap) + 虫 (insect)"
甩,"throw away","月 (moon) + 乚 (second)"
涯,"shore","氵 (water) + 厂 (cliff) + 土 (earth)"
枕,"pillow","木 (tree) + 冖 (over) + 儿 (legs)"
丐,"beggar","丐 (beggar)"
泳,"dive","氵 (water) + 水 (water) + 丶 (dot)"
奎,"stride of man","大 (big) + 土 (earth)"
泌,"to seep out","氵 (water) + 心 (heart) + 丿 (slash)"
逾,"go over","辶 (walk) + 人 (man) + 一 (one) + 舟 (boat) + 巜 (river)"
叮,"exhort or enjoin repeatedly","口 (mouth) + 一 (one) + 亅 (hook)"
黛,"blacken eyebrows","亻 (man) + 弋 (shoot) + 黑 (black)"
燥,"dry","火 (fire) + 口 (mouth) + 木 (tree)"
掷,"throw","扌 (hand) + 丷 (eight) + 一 (one) + 大 (big) + 阝 (mound)"
藉,"mat","艹 (grass) + 耒 (plow) + 日 (sun)"
枢,"door hinge","木 (tree) + 匚 (open box) + 乂"
憎,"hate","忄 (heart) + 八 (eight) + 田 (field) + 曰 (say)"
鲸,"whale","鱼 (fish) + 亠 (lid) + 口 (mouth) + 小 (small)"
弘,"enlarge","弓 (bow) + 厶 (private)"
倚,"rely on","亻 (man) + 大 (big) + 口 (mouth) + 一 (one) + 亅 (hook)"
侮,"insult","亻 (man) + 丿 (slash) + 一 (one) + 母 (mother)"
藩,"fence","艹 (grass) + 氵 (water) + 釆 (distinguish) + 田 (field)"
拂,"shake off","扌 (hand) + 弓 (bow) + 刂 (knife)"
鹤,"crane","冖 (over) + 隹 (short tailed bird) + 鸟 (bird)"
蚀,"nibble away","饣 (eat) + 虫 (insect)"
浆,"any thick fluid","丨 (line) + 攵 (rap) + 水 (water)"
芙,"hibiscus","艹 (grass) + 一 (one) + 大 (big)"
垃,"garbage","土 (earth) + 立 (stand)"
烤,"bake","火 (fire) + 土 (earth) + 丿 (slash) + 丂"
晒,"dry in sun","日 (sun) + 一 (one) + 儿 (legs) + 口 (mouth)"
霜,"frost","雨 (rain) + 木 (tree) + 目 (eye)"
剿,"destroy","巛 (river) + 田 (field) + 木 (tree) + 刂 (knife)"
蕴,"to collect","艹 (grass) + 纟 (silk) + 日 (sun) + 皿 (dish)"
圾,"garbage","土 (earth) + 乃 (then)"
绸,"silk cloth","纟 (silk) + 冂 (down box) + 士 (scholar) + 口 (mouth)"
屿,"island","山 (mountain) + 与 (and)"
氢,"ammonia","气 (breath) + 又 (again) + 工 (work)"
驼,"a camel","马 (horse) + 宀 (roof) + 匕 (spoon)"
妆,"to adorn oneself","丬 (half tree trunk) + 女 (woman)"
捆,"tie up","扌 (hand) + 囗 (enclosure) + 木 (tree)"
铅,"lead","钅 + 八 (eight) + 口 (mouth)"
逛,"ramble","辶 (walk) + 犭 (dog) + 王 (king)"
淑,"good","氵 (water) + 上 (top) + 小 (small) + 又 (again)"
榴,"pomegranate","木 (tree) + 𠂎 + 卩 (seal) + 田 (field)"
丙,"third","一 (one) + 冂 (down box) + 人 (man)"
痒,"itch","疒 (sickness) + 羊 (sheep)"
钞,"paper money","钅 + 小 (small) + 丿 (slash)"
蹄,"hoof","足 (foot) + 亠 (lid) + 八 (eight) + 巾 (turban)"
犬,"dog","犬 (dog)"
躬,"body","身 (body) + 弓 (bow)"
昼,"daytime","尸 (corpse) + 日 (sun) + 一 (one)"
藻,"splendid","艹 (grass) + 氵 (water) + 口 (mouth) + 木 (tree)"
蛛,"spider","虫 (insect) + 丿 (slash) + 木 (tree) + 一 (one)"
褐,"coarse woolen cloth","衤 (clothes) + 曰 (say) + 勹 (wrap) + 𠃊 + 人 (man)"
颊,"cheeks","一 (one) + 大 (big) + 丷 (eight) + 页 (leaf)"
奠,"pay respect","丷 (eight) + 酉 (alcohol) + 大 (big)"
募,"levy","艹 (grass) + 日 (sun) + 大 (big) + 力 (power)"
耽,"indulge in","耳 (ear) + 冖 (over) + 儿 (legs)"
蹈,"stamp feet","足 (foot) + 爫 (claw) + 臼 (mortar)"
陋,"narrow","阝 (mound) + 乚 (second) + 一 (one) + 冂 (down box) + 人 (man)"
侣,"companion","亻 (man) + 口 (mouth)"
魅,"kind of forest demon","鬼 (ghost) + 木 (tree) + 一 (one)"
岚,"mountain mist","山 (mountain) + 风 (wind)"
侄,"nephew","亻 (man) + 至 (arrive)"
虐,"cruel","虍 (tiger) + 匚 (open box) + 一 (one)"
堕,"fall","阝 (mound) + 丿 (slash) + 一 (one) + 月 (moon) + 土 (earth)"
陛,"steps leading throne","阝 (mound) + 比 (compare) + 土 (earth)"
莹,"luster of gems","艹 (grass) + 玉 (king)"
荫,"shade","艹 (grass) + 阝 (mound) + 月 (moon)"
狡,"cunning","犭 (dog) + 亠 (lid) + 父 (father)"
阀,"powerful and influential group","门 (gate) + 亻 (man) + 戈 (halberd)"
绞,"twist","纟 (silk) + 亠 (lid) + 父 (father)"
膏,"grease","高 (tall) + 月 (moon)"
垮,"be defeated","土 (earth) + 大 (big) + 一 (one) + 丂"
茎,"stem","艹 (grass) + 又 (again) + 土 (earth)"
缅,"distant","纟 (silk) + 面 (face)"
喇,"horn","口 (mouth) + 木 (tree) + 刂 (knife)"
绒,"silk","纟 (silk) + 丿 (slash) + 一 (one) + 戈 (halberd)"
搅,"disturb","扌 (hand) + 小 (small) + 见 (see)"
凳,"bench","癶 (dotted tent) + 豆 (bean) + 几 (table)"
梭,"weavers shuttle","木 (tree) + 厶 (private) + 儿 (legs) + 夂 (go)"
丫,"forked","丫 (forked)"
姬,"beauty","女 (woman) + 臣 (minister)"
诏,"decree","讠 (speech) + 刀 (knife) + 口 (mouth)"
钮,"button","钅 + 丑 (clown)"
棺,"coffin","木 (tree) + 宀 (roof) + 㠯"
耿,"bright","耳 (ear) + 火 (fire)"
缔,"tie","纟 (silk) + 亠 (lid) + 八 (eight) + 巾 (turban)"
懈,"idle","忄 (heart) + 角 (horn) + 刀 (knife) + 牛 (cow)"
嫉,"jealousy","女 (woman) + 疒 (sickness) + 矢 (arrow)"
灶,"kitchen stove","火 (fire) + 土 (earth)"
匀,"equal","勹 (wrap) + 冫 (ice)"
嗣,"to connect","口 (mouth) + 冂 (down box) + 廾 (two hands) + 𠃌 + 一 (one)"
鸽,"pigeon","人 (man) + 一 (one) + 口 (mouth) + 鸟 (bird)"
澡,"wash","氵 (water) + 口 (mouth) + 木 (tree)"
凿,"chisel","业 (profession) + 凵 (open box)"
纬,"woof","纟 (silk) + 韦 (tanned leather)"
沸,"boil","氵 (water) + 弓 (bow) + 刂 (knife)"
畴,"farmland","田 (field) + 丰 (abundant) + 寸 (inch)"
刃,"edged tool","刀 (knife) + 丶 (dot)"
遏,"stop","辶 (walk) + 曰 (say) + 勹 (wrap) + 𠃊 + 人 (man)"
烁,"shine","火 (fire) + 乐 (happy)"
嗅,"smell","口 (mouth) + 自 (self) + 犬 (dog)"
叭,"trumpet","口 (mouth) + 八 (eight)"
熬,"cook down","土 (earth) + 方 (square) + 攵 (rap) + 灬 (fire)"
瞥,"take fleeting glance at","攵 (rap) + 目 (eye)"
骸,"skeleton","骨 (bone) + 亠 (lid) + 人 (man)"
奢,"extravagant","大 (big) + 土 (earth) + 丿 (slash) + 日 (sun)"
拙,"stupid","扌 (hand) + 屮 (sprout) + 凵 (open box)"
栋,"main beams supporting house","木 (tree) + 东 (east)"
毯,"rug","毛 (fur) + 火 (fire)"
桐,"name applied various trees","木 (tree) + 冂 (down box) + 一 (one) + 口 (mouth)"
砂,"sand","石 (stone) + 小 (small) + 丿 (slash)"
莽,"thicket","艹 (grass) + 大 (big) + 廾 (two hands)"
泻,"drain off","氵 (water) + 冖 (over) + 与 (and)"
坪,"level ground","土 (earth) + 干 (dry) + 丷 (eight)"
梳,"comb","木 (tree) + 亠 (lid) + 厶 (private) + 川 (river)"
杉,"various species of pine and fir","木 (tree) + 彡 (bristle)"
晤,"have interview with","日 (sun) + 五 (five) + 口 (mouth)"
稚,"young","禾 (grain) + 隹 (short tailed bird)"
蔬,"vegetables","艹 (grass) + 疋 (bolt of cloth) + 亠 (lid) + 厶 (private) + 川 (river)"
蝇,"flies","虫 (insect) + 黾 (frog)"
捣,"hull","扌 (hand) + 乌 (crow) + 山 (mountain)"
顷,"a moment","匕 (spoon) + 页 (leaf)"
麽,"interrogative final particle","麻 (hemp) + 丿 (slash) + 厶 (private)"
尴,"embarrassed","尢 (lame) + 皿 (dish)"
镖,"dart","钅 + 覀 (west) + 示 (showing)"
诧,"be surprised","讠 (speech) + 宀 (roof) + 丿 (slash) + 七 (seven)"
尬,"limp","尢 (lame) + 人 (man) + 儿 (legs)"
硫,"sulfur","石 (stone) + 亠 (lid) + 厶 (private) + 川 (river)"
嚼,"prattle","口 (mouth) + 爫 (claw) + 罒 (net) + 寸 (inch)"
羡,"envy","羊 (sheep) + 冫 (ice) + 欠 (lack)"
沦,"be lost","氵 (water) + 人 (man) + 匕 (spoon)"
沪,"Shanghai","氵 (water) + 丶 (dot) + 尸 (corpse)"
旷,"extensive","日 (sun) + 广 (dotted cliff)"
彬,"cultivated","木 (tree) + 彡 (bristle)"
芽,"bud","艹 (grass) + 牙 (fang)"
狸,"fox","犭 (dog) + 里 (village)"
冥,"dark","冖 (over) + 日 (sun) + 亠 (lid) + 八 (eight)"
碳,"carbon","石 (stone) + 山 (mountain) + 厂 (cliff) + 火 (fire)"
咧,"stretch mouth","口 (mouth) + 歹 (death) + 刂 (knife)"
惕,"be cautious","忄 (heart) + 日 (sun) + 勿 (must not)"
暑,"hot","日 (sun) + 土 (earth) + 丿 (slash)"
咯,"final particle","口 (mouth) + 夂 (go)"
萝,"type of creeping plant","艹 (grass) + 罒 (net) + 夕 (evening)"
汹,"turbulent","氵 (water) + 凵 (open box) + 乂"
腥,"raw meat","月 (moon) + 日 (sun) + 生 (life)"
窥,"peep","穴 (cave) + 一 (one) + 大 (big) + 见 (see)"
俺,"personal pronoun","亻 (man) + 大 (big) + 曰 (say) + 乚 (second)"
潭,"deep pool","氵 (water) + 襾 (west) + 日 (sun) + 十 (ten)"
崎,"rough","山 (mountain) + 大 (big) + 口 (mouth) + 一 (one) + 亅 (hook)"
麟,"female of Chinese unicorn","鹿 (deer) + 米 (rice) + 舛 (oppose)"
捡,"to pick up","扌 (hand) + 人 (man) + 一 (one) + 小 (small)"
拯,"help","扌 (hand) + 乛 (second) + 水 (water) + 一 (one)"
厥,"personal pronoun he","厂 (cliff) + 䒑 + 屮 (sprout) + 欠 (lack)"
澄,"purify water by allowing sediment to settle","氵 (water) + 癶 (dotted tent) + 豆 (bean)"
萎,"wither","艹 (grass) + 禾 (grain) + 女 (woman)"
哉,"final exclamatory particle","戈 (halberd) + 十 (ten) + 口 (mouth)"
涡,"swirl","氵 (water) + 口 (mouth) + 冂 (down box) + 人 (man)"
滔,"overflow","氵 (water) + 爫 (claw) + 臼 (mortar)"
暇,"leisure","日 (sun) + 叚"
溯,"go upstream","氵 (water) + 䒑 + 屮 (sprout) + 月 (moon)"
鳞,"fish scales","鱼 (fish) + 米 (rice) + 舛 (oppose)"
酿,"brew","酉 (alcohol) + 丶 (dot) + 艮 (stopping)"
茵,"a cushion","艹 (grass) + 囗 (enclosure) + 大 (big)"
愕,"startled","忄 (heart) + 口 (mouth) + 一 (one) + 丂"
瞅,"see","目 (eye) + 禾 (grain) + 火 (fire)"
暮,"evening","艹 (grass) + 日 (sun) + 大 (big)"
衙,"public office","彳 (step) + 五 (five) + 口 (mouth)"
诫,"warn","讠 (speech) + 廾 (two hands) + 戈 (halberd)"
斧,"axe","父 (father) + 斤 (axe)"
兮,"exclamatory particle","八 (eight) + 丂"
焕,"shining","火 (fire) + 冂 (down box) + 大 (big)"
棕,"hemp palm","木 (tree) + 宀 (roof) + 示 (showing)"
佑,"help","亻 (man) + 丿 (slash) + 一 (one) + 口 (mouth)"
嘶,"neighing of a horse","口 (mouth) + 其 (his) + 斤 (axe)"
妓,"prostitute","女 (woman) + 支 (branch)"
喧,"lively","口 (mouth) + 宀 (roof) + 二 (two) + 日 (sun)"
蓉,"hibiscus","艹 (grass) + 宀 (roof) + 谷 (valley)"
删,"to cut","册 (book) + 刂 (knife)"
樱,"cherry","木 (tree) + 贝 (shell) + 女 (woman)"
伺,"serve","亻 (man) + 𠃌 + 一 (one) + 口 (mouth)"
嗡,"sound of flying bees","口 (mouth) + 八 (eight) + 厶 (private) + 羽 (feather)"
娥,"be beautiful","女 (woman) + 丿 (slash) + 十 (ten) + 戈 (halberd)"
梢,"pointed tip of something long like a branch","木 (tree) + 小 (small) + 月 (moon)"
